Ingredient,min,max
Corn silage,14.455,26.845
"Legume silage, mid maturity",10.766,19.994
"Corn grain high moisture, fine grind",3.143,5.837
Cottenseed whole,0.924,1.716
"Soybean meal, solvent 48CP",1.057,1.963
"Soybean Meal, Expellers",0.679,1.261
Soybean Hulls,1.085,2.015
Canola meal,0.952,1.768
"Fat, tallow",0.4150699,0.7708441
"Corn grain dry, fine grind",1.603,2.977
Calcium carbonate,0.28,0.52
Urea,0.035,0.065
Rumen Protected Met,0.021,0.039
Magnesium oxide,0.056,0.104
Sodium bicarbonate,0.154,0.286
Potassium carbonate,0.021,0.039
"VitTM Premix, generic",0.084,0.156
